part_num,manufacturer,TNVED,concat_str,path_ds,id_path
MFMVA30FC2R-360R,FAITHFUL LINK INDUSTRIAL,8533100000,MFMVA30FC2R-360R FAITHFUL LINK INDUSTRIAL,M:\DataSheet\5bd9e5da-6bc4-11ed-96e9-f8bc12505841.pdf,5bd9e5da-6bc4-11ed-96e9-f8bc12505841
XNG450B24KC2S,XINER SEMI,8541290000,XNG450B24KC2S XINER SEMI,M:\DataSheet\4fdbcaad-c1ab-11ed-96ed-f8bc12505841.pdf,4fdbcaad-c1ab-11ed-96ed-f8bc12505841
QPA4263ATR7,"QORVO, INC.",8542339000,"QPA4263ATR7 QORVO, INC.",M:\DataSheet\b7dbd29d-ce2b-11ed-96ee-f8bc12505841.pdf,b7dbd29d-ce2b-11ed-96ee-f8bc12505841
BGA824N6 E6327,INFINEON TECHNOLOGIES,8542339000,BGA824N6 E6327 INFINEON TECHNOLOGIES,M:\DataSheet\fec3cae0-4560-11ed-96e6-f8bc12505841.pdf,fec3cae0-4560-11ed-96e6-f8bc12505841
LMZ14202TZ-ADJ/NOPB,TEXAS INSTRUMENTS,8542399090,LMZ14202TZ-ADJ/NOPB TEXAS INSTRUMENTS,M:\DataSheet\ae7b6b0b-3ff8-11ed-96e6-f8bc12505841.pdf,ae7b6b0b-3ff8-11ed-96e6-f8bc12505841
PMFUC-1550-22-B-01-9-20-FA,"SEAGNOL PHOTONICS CO., LTD",9013800000,"PMFUC-1550-22-B-01-9-20-FA SEAGNOL PHOTONICS CO., LTD",M:\DataSheet\6519d4c8-1027-11ee-96f2-f8bc12505841.pdf,6519d4c8-1027-11ee-96f2-f8bc12505841
SMF-28e,"SEAGNOL PHOTONICS CO., LTD",other,"SMF-28E SEAGNOL PHOTONICS CO., LTD",M:\DataSheet\b65db125-102a-11ee-96f2-f8bc12505841.pdf,b65db125-102a-11ee-96f2-f8bc12505841
HF3-25DC7680G-B8P-21MG,UD INFO,8523511000,HF3-25DC7680G-B8P-21MG UD INFO,M:\DataSheet\9f8106a3-0449-11ee-96f1-f8bc12505841.pdf,9f8106a3-0449-11ee-96f1-f8bc12505841
MKP1D051507H00KSSD,WIMA,8532250000,MKP1D051507H00KSSD WIMA,M:\DataSheet\eb43f0f9-8f87-11ee-96f7-f8bc12505841.pdf,eb43f0f9-8f87-11ee-96f7-f8bc12505841
R60EW61005000K,KEMET ELECTRONICS,8532250000,R60EW61005000K KEMET ELECTRONICS,M:\DataSheet\e9785eda-0f4c-11ee-96f2-f8bc12505841.pdf,e9785eda-0f4c-11ee-96f2-f8bc12505841
FG18X7S2A473KRT06,TDK,8532240000,FG18X7S2A473KRT06 TDK,M:\DataSheet\0b74cff9-1fc6-11ee-96f2-f8bc12505841.pdf,0b74cff9-1fc6-11ee-96f2-f8bc12505841
MT48LC2M32B2P-6:G,MICRON TECHNOLOGY,8542323100,MT48LC2M32B2P-6:G MICRON TECHNOLOGY,M:\DataSheet\ab74c114-09d0-11ee-96f2-f8bc12505841.pdf,ab74c114-09d0-11ee-96f2-f8bc12505841
